TFAP2E,MTF1,ZNF684,NFYC,JUN,NFIA,MEF2D,ATF6,PBX1,POU2F1,ZNF281,SOX13,ELK4,PROX1,ZBTB18,ZNF692,E2F6,REL,MEIS1,POU3F3,NR4A2,SP3,ATF2,NFE2L2,STAT1,KLF7,CREB1,HES6,NR2C2,SATB1,NR1D2,THRB,MITF,FOXP1,ZNF148,KLF15,ZIC4,ZIC1,SOX2,ETV5,BCL6,RBPJ,KLF3,CLOCK,REST,NFKB1,ELF2,NR3C2,IRF2,MEF2C,SMAD5,NR3C1,ZNF354A,ZNF354C,PBX2,RXRB,ZNF76,PPARD,NFYA,TFEB,RUNX2,BACH2,POU3F2,FOXO3,HSF2,HEY2,FOXK1,SP4,POU6F2,ZNF680,ZKSCAN5,ZKSCAN1,CUX1,FOXP2,NRF1,ZNF282,HMBOX1,PLAG1,MYBL1,TRPS1,HSF1,RFX3,GLIS3,NFIB,KLF9,RORB,MSANTD3,ZNF189,ZBTB26,NR6A1,PBX3,ZNF143,TEAD1,MYRF,ESRRA,RELA,HINFP,PKNOX2,ETS1,ZEB1,CREM,MXI1,TCF7L2,NKX6.2,ZNF384,ETV6,BHLHE41,TFCP2,POU6F1,ZNF740,SP1,ATF7,NR2C1,ELK3,NFYB,PRDM4,CUX2,ZNF140,ELF1,KLF12,TFDP1,HIF1A,MAX,ZNF410,FOXN3,YY1,KLF13,MEIS2,MGA,RFX7,TCF12,RORA,ARNT2,MEF2A,SOX8,ZNF263,MAZ,HSF4,E2F4,CTCF,NFATC3,MNT,SREBF1,THRA,STAT3,MLX,SP2,ZNF652,HLF,VEZF1,MAFG,FOXK2,ZNF24,SMAD2,TCF4,SOX12,ZNF343,NKX2.2,ZNF341,TCFL5,TCF3,NFIC,ZBTB7A,RFX2,ZNF317,ZNF136,NFIX,RFX1,JUND,ZNF682,ZNF708,ZNF675,USF2,ZFP14,ZNF382,ERF,IRF3,ZNF610,ZNF528,ZNF701,ZNF320,ZNF331,ZNF582,ZNF667,ZNF460,ZNF549,ZNF211,ZNF417,ZNF418,ZNF135,ZNF274,ZNF324,MZF1,PATZ1,SOX10,ATF4,TEF,SREBF2,GABPA,BACH1,OLIG2,OLIG1,RUNX1,PKNOX1,dummy1,dummy2
3,2,2,2,3,124,3,13,37,23,6,0,4,4,2,1,0,1,9,7,3,6,7,38,0,6,10,1,16,0,14,2,25,102,24,3,0,9,4,1,4,92,4,7,4,7,44,12,6,2,9,19,3,2,1,2,2,6,2,20,1,50,2,24,0,3,14,13,0,2,1,40,34,0,12,1,10,0,2,17,3,17,0,12,2,5,0,9,4,8,14,2,7,60,1,2,1,2,1,1,2,35,2,46,1,3,1,16,4,2,4,0,3,0,1,2,0,4,11,0,1,2,4,0,16,12,10,22,9,15,360,14,15,18,8,2,2,3,1,2,10,2,11,4,7,1,2,34,2,8,2,17,9,10,175,2,0,4,2,4,2,21,3,1,0,2,67,2,13,1,20,2,5,3,3,0,3,0,2,3,0,8,1,5,1,1,1,0,1,8,2,4,4,1,18,3,3,83,1,1,5,13,1,7,0,0
3,5,0,5,3,124,7,17,33,28,10,1,6,13,1,4,3,3,36,8,2,8,11,32,1,15,11,1,13,0,9,0,13,38,21,3,1,16,13,2,4,138,7,8,1,10,80,18,7,3,8,36,3,2,1,2,7,5,2,22,3,28,4,28,3,4,15,6,1,5,2,89,37,1,15,2,16,2,2,29,2,17,1,28,3,4,0,8,1,6,9,3,13,104,0,1,2,2,0,1,2,45,9,50,1,3,5,17,4,1,2,0,12,0,3,1,2,1,16,1,2,6,13,0,41,7,14,49,13,17,421,13,19,30,13,0,1,3,1,10,18,1,20,8,10,0,1,43,0,9,1,12,9,12,199,0,0,3,3,4,3,17,8,3,3,2,64,3,19,4,34,3,2,7,3,0,2,3,3,4,0,7,1,4,1,1,2,0,2,6,6,3,5,2,14,3,7,40,2,2,3,21,1,9,0,0
4,2,1,4,5,206,10,9,58,53,7,1,2,22,5,3,2,3,19,7,2,7,9,38,2,15,11,5,19,0,8,4,23,37,28,1,2,17,19,1,4,114,12,8,6,11,70,4,9,7,13,38,3,2,3,3,5,14,1,35,3,59,4,48,1,2,8,7,1,4,2,63,19,1,21,2,13,2,1,27,3,15,1,49,8,4,1,11,1,6,9,2,21,202,2,3,1,1,2,1,3,34,3,51,1,7,5,19,8,0,3,1,16,0,10,5,0,1,12,0,2,5,9,0,32,11,18,39,19,20,605,15,33,81,11,3,4,4,2,5,17,1,31,6,21,3,2,51,3,14,3,16,7,9,191,2,1,4,2,4,1,22,8,3,4,3,65,2,45,3,34,1,4,18,3,0,2,3,1,1,0,3,1,4,1,3,2,0,2,7,11,3,4,1,24,5,5,64,6,3,13,80,2,2,0,0
3,4,1,6,3,107,9,16,32,25,5,1,2,22,1,6,3,2,22,6,1,7,10,21,1,12,8,3,13,0,10,1,21,79,17,3,1,15,9,1,8,169,11,6,4,12,155,12,9,1,10,27,2,2,1,2,1,9,0,22,0,50,3,29,3,2,15,5,1,6,3,76,41,2,8,0,16,2,1,34,4,26,0,59,8,2,1,10,4,9,7,2,16,93,1,3,1,0,0,1,3,62,4,68,1,4,3,23,5,2,3,0,5,1,3,3,0,3,15,1,0,5,3,0,17,5,22,38,9,14,422,15,17,33,17,1,5,3,1,5,7,0,18,6,9,0,2,59,1,12,1,11,14,6,103,4,0,4,1,9,1,15,9,2,2,1,47,1,41,2,68,3,3,4,5,0,3,1,1,1,0,8,0,3,0,1,2,0,3,5,3,2,3,1,25,4,5,34,2,2,13,24,2,6,0,0
3,5,1,2,2,88,5,8,40,18,4,1,2,9,2,3,2,0,8,7,1,4,4,34,2,13,2,2,2,0,4,2,11,20,22,0,0,8,8,2,2,60,4,10,1,5,32,5,2,4,4,11,0,2,1,1,2,6,0,14,2,42,1,9,1,2,11,4,2,3,2,59,25,0,4,1,4,1,1,19,2,12,1,32,2,3,0,11,2,4,10,1,4,73,2,1,1,1,1,2,2,25,2,32,3,7,2,10,2,0,2,0,6,0,3,2,0,2,9,2,2,3,5,0,9,6,14,15,10,4,337,5,11,18,3,2,2,2,1,10,7,2,19,4,3,2,0,34,2,3,1,9,4,7,98,1,0,4,1,3,0,12,2,2,0,1,42,2,12,2,12,2,4,8,2,0,0,1,1,1,0,2,1,2,0,2,1,0,2,8,2,1,2,0,7,3,1,36,5,4,3,7,0,7,0,0
3,3,3,4,2,114,8,11,42,18,6,2,4,18,1,1,2,1,16,7,2,2,14,32,1,12,17,3,10,0,7,1,21,44,17,4,0,10,6,1,6,69,7,9,2,16,51,6,10,3,12,20,3,1,2,2,3,7,4,18,1,40,3,42,3,2,7,5,0,2,2,41,23,0,19,2,22,0,2,33,3,14,0,28,6,2,0,8,2,8,11,3,11,49,2,0,2,0,1,1,2,41,2,47,1,11,7,20,3,1,2,0,4,0,3,0,0,2,11,2,2,3,4,0,16,7,21,21,6,9,469,10,11,24,7,1,1,2,3,3,13,1,13,6,9,0,2,30,0,11,1,24,7,9,116,1,0,3,1,3,1,9,6,1,1,3,49,0,33,3,26,2,3,10,3,0,2,1,1,1,1,9,0,5,1,0,0,0,1,1,5,0,3,1,14,1,1,28,3,6,11,22,1,8,0,0
2,2,3,3,4,116,6,10,23,33,6,2,4,8,3,2,2,3,21,8,2,7,12,22,4,18,5,2,13,0,5,1,15,103,12,1,0,13,7,0,8,88,6,6,2,17,61,6,5,5,8,17,2,1,1,3,2,4,3,41,1,44,4,19,3,1,12,4,1,2,1,40,25,1,12,2,7,4,2,21,2,13,0,15,4,3,0,9,2,8,5,1,12,80,2,2,1,0,0,1,3,36,4,65,0,6,4,19,3,2,3,0,3,1,3,2,1,3,20,0,1,4,7,0,9,5,20,21,13,19,387,25,10,40,13,1,2,3,1,4,7,1,14,10,9,2,3,36,0,9,1,15,9,11,136,2,1,2,1,9,1,8,9,3,3,1,73,2,22,4,58,2,5,9,2,0,3,2,2,0,0,5,2,1,1,0,2,0,2,6,5,5,4,2,14,4,3,40,6,6,7,25,2,6,0,0
3,3,2,4,3,129,12,14,31,17,4,1,4,16,3,7,1,2,14,9,3,8,7,20,0,15,9,3,13,0,9,2,16,41,18,3,2,15,11,1,2,88,9,7,4,9,62,10,8,2,6,11,3,3,1,2,3,10,2,28,3,50,1,34,1,2,12,4,0,7,3,78,37,0,9,1,11,1,0,8,3,12,1,24,1,3,0,6,1,10,8,2,9,113,1,1,2,1,1,1,3,39,3,71,1,5,4,16,3,0,2,0,8,0,1,4,1,5,12,0,0,3,3,0,18,10,16,16,6,14,464,21,18,29,18,0,2,1,2,3,13,0,21,4,8,2,3,28,0,11,1,14,6,18,130,2,1,6,1,6,1,14,9,1,1,1,76,1,32,3,23,3,3,11,1,0,1,1,1,1,0,0,1,3,1,1,1,0,1,9,4,1,5,2,12,5,2,42,3,6,7,29,2,6,0,0
2,2,0,7,4,154,7,11,57,25,6,3,3,14,3,2,2,2,8,5,2,6,10,52,2,9,6,2,8,0,6,1,31,41,19,2,0,13,9,2,5,82,8,9,4,8,37,7,14,1,8,21,2,4,4,3,4,7,2,20,3,52,1,37,2,3,7,2,0,3,3,61,42,1,16,2,12,1,1,23,2,13,1,18,3,8,0,8,2,5,3,3,12,86,1,1,2,1,1,1,2,47,3,47,1,6,4,15,6,1,2,1,5,0,1,3,0,3,23,1,1,3,4,0,20,7,15,33,12,13,535,6,7,29,10,2,3,2,1,8,5,1,23,6,7,1,0,31,1,10,2,9,10,14,133,2,0,5,1,2,1,13,12,2,5,1,55,5,15,0,20,2,4,6,2,0,1,1,1,1,1,5,1,4,1,2,0,0,2,7,2,3,2,2,20,4,5,47,6,5,6,11,0,5,0,0
1,3,2,7,8,140,5,17,29,19,7,2,3,18,1,3,0,3,23,12,1,3,10,42,1,36,12,4,13,0,7,2,23,80,21,3,1,6,7,1,4,80,14,10,5,20,63,8,6,3,7,24,2,0,3,2,3,11,3,39,0,29,3,39,4,2,15,6,1,3,2,63,26,2,14,3,21,1,1,20,7,20,1,29,7,3,0,11,2,7,6,2,13,113,1,2,2,0,1,0,3,72,5,31,3,8,3,25,3,0,2,0,7,1,2,2,1,1,16,0,1,3,6,0,21,15,16,23,12,17,535,19,15,24,13,1,4,2,1,6,11,3,12,11,22,2,0,45,0,9,3,22,12,13,206,1,1,4,3,8,4,12,12,2,2,1,73,2,22,5,53,0,3,7,1,0,1,2,3,2,0,4,2,5,2,2,1,0,2,8,7,1,4,3,13,1,5,70,2,5,3,26,0,10,0,0
